时间(s),输入信号(%),动态响应温度(℃)
4706,45.64371987601513,404.34796343979383
4707,45.57599874952679,404.4087978062282
4708,45.42634577892345,404.47896212589484
4709,45.25212124465152,404.54749148307013
4710,45.10132447844139,404.60855518066904
4711,44.99603316526761,404.65711537056313
4712,44.942511434481574,404.6847565290332
4713,44.95959798143277,404.6837626386281
4714,45.055878645191804,404.6570306435074
4715,45.17440683429904,404.6192201302556
4716,45.221057852487604,404.5852803016004
4717,45.161646667538996,404.56340198600793
4718,45.050160572329474,404.55735074483465
4719,44.950771168473985,404.5651271850952
4720,44.87587972388761,404.57648551771507
4721,44.821545556444676,404.5806135511163
4722,44.80306860276584,404.57472337220037
4723,44.82807353266401,404.56217301743436
4724,44.87958580243964,404.5467912564676
4725,44.92646045304499,404.53157023018133
4726,44.93593825062499,404.5199979744243
4727,44.89544241909925,404.5152934692959
4728,44.82658043713979,404.52085481574744
4729,44.76958372630748,404.54129137708475
4730,44.75055275107043,404.57665311066137
4731,44.76944812322017,404.61668549208446
4732,44.8264977841287,404.64527750512025
4733,44.942697807127054,404.65111767531823
4734,45.130219538817464,404.63384452049957
4735,45.34621813730041,404.6008502784108
4736,45.50644124413573,404.5606051755359
4737,45.56129453052552,404.5190523554484
4738,45.542916879583714,404.47847780191296
4739,45.535638152866035,404.43926176763904
4740,45.6088756806196,404.40473047032543
4741,45.75592484023088,404.3821498934832
4742,45.88480725611485,404.37863424897137
4743,45.89119737502118,404.3980116582287
4744,45.74640904964784,404.43942905118985
4745,45.50133394655023,404.4959475381
4746,45.22252286793836,404.5546282123313
4747,44.95150196143042,404.60090500408296
4748,44.71388326915945,404.6242494679094
4749,44.536317967914414,404.62038079094054
4750,44.43856773467091,404.5925930170939
4751,44.41905185771193,404.5521425307524
4752,44.460386601577156,404.5122403700822
4753,44.53869060360371,404.47963820746986
4754,44.61963442928217,404.4518459684769
4755,44.66534182690959,404.4213791968139
4756,44.66537749407108,404.3856344344308
4757,44.65016088509532,404.3528545310299
4758,44.66076975460092,404.3354862363502
4759,44.71378476182041,404.33989092378926
4760,44.7989815814836,404.36288339658654
4761,44.89838238159658,404.3947222360963
4762,45.006611169738235,404.4264837695215
4763,45.13266833081198,404.4568537244627
4764,45.262935898904594,404.490066212361
4765,45.344742732939615,404.5282550554937
4766,45.34049078407172,404.56939367594157
4767,45.27556505396575,404.6093870154515
4768,45.21938216156973,404.641622114131
4769,45.22268513904107,404.65743817070603
4770,45.278320983376446,404.6498323902616
4771,45.35603952451136,404.61703499303275
4772,45.435727632834435,404.56508601387543
4773,45.4844110088111,404.50728266595104
4774,45.45214183324205,404.4582812405626
4775,45.30916400586575,404.4267123688966
4776,45.07023034768791,404.4143482048758
4777,44.779339942246985,404.4225124100812
4778,44.47837926783488,404.4541689787042
4779,44.20568427282037,404.5077659254885
4780,44.017053833818466,404.57155234842605
4781,43.977269955211135,404.62637042187816
4782,44.11353053652643,404.657991171703
4783,44.38191824785114,404.66522461771496
4784,44.68908355030755,404.65377499165913
4785,44.946224698345944,404.6290082132853
4786,45.10199032123172,404.5959965730932
4787,45.13808193041527,404.5588195680119
4788,45.064881096281056,404.5177966831729
4789,44.93092340894314,404.471299507627
4790,44.80442555953322,404.42284290928444
4791,44.7323549419408,404.38433807300333
4792,44.73110029668831,404.36847675388833
4793,44.80187033789256,404.37821067012055
4794,44.92948382232035,404.4045468341329
4795,45.07369584766674,404.4314463919929
4796,45.17499046304674,404.4419006538768
4797,45.17769495544607,404.42477958257246
4798,45.07141942298549,404.381972979972
4799,44.91566246781911,404.3308543106504
4800,44.80370320548937,404.29638820257236
4801,44.792463112757495,404.2943834487016
4802,44.866363915846996,404.320922613475
4803,44.96412137270597,404.35969051950923
